Timestamp,Longitude,Latitude,Speed,Operatorname,Operator,CGI,Cellname,Node,CellID,LAC,NetworkTech,NetworkMode,RSRP,RSRQ,SNR,CQI,LTERSSI,ARFCN,DL+AF8-bitrate,UL+AF8-bitrate,PSC,Altitude,Height,Accuracy,Location,State,PINGAVG,PINGMIN,PINGMAX,PINGSTDEV,PINGLOSS,TESTDOWNLINK,TESTUPLINK,TESTDOWNLINKMAX,TESTUPLINKMAX,Test+AF8-Status,DataConnection+AF8-Type,DataConnection+AF8-Info,Layer,Filemark,IMEI,Distance,Bearing,IP,TA,EVENT,EVENTDETAILS,IMSI,MSISDN,SERVINGTIME,CELLHEX,NODEHEX,LACHEX,RAWCELLID,VERSION+AF8-NAME,VERSION+AF8-CODE,DEVICE,BAND,R8,R9,R10,NTech1,NCellName1,NCellid1,NLAC1,NCell1,NARFCN1,NRxLev1,NQual1,NDistance1,NBearing1,NTech2,NCellName2,NCellid2,NLAC2,NCell2,NARFCN2,NRxLev2,NQual2,NDistance2,NBearing2,NTech3,NCellName3,NCellid3,NLAC3,NCell3,NARFCN3,NRxLev3,NQual3,NDistance3,NBearing3,NTech4,NCellName4,NCellid4,NLAC4,NCell4,NARFCN4,NRxLev4,NQual4,NDistance4,NBearing4,NTech5,NCellName5,NCellid5,NLAC5,NCell5,NARFCN5,NRxLev5,NQual5,NDistance5,NBearing5,NTech6,NCellName6,NCellid6,NLAC6,NCell6,NARFCN6,NRxLev6,NQual6,NDistance6,NBearing6,NTech7,NCellName7,NCellid7,NLAC7,NCell7,NARFCN7,NRxLev7,NQual7,NDistance7,NBearing7,NTech8,NCellName8,NCellid8,NLAC8,NCell8,NARFCN8,NRxLev8,NQual8,NDistance8,NBearing8,NTech9,NCellName9,NCellid9,NLAC9,NCell9,NARFCN9,NRxLev9,NQual9,NDistance9,NBearing9,NTech10,NCellName10,NCellid10,NLAC10,NCell10,NARFCN10,NRxLev10,NQual10,NDistance10,NBearing10,NTech11,NCellName11,NCellid11,NLAC11,NCell11,NARFCN11,NRxLev11,NQual11,NDistance11,NBearing11,NTech12,NCellName12,NCellid12,NLAC12,NCell12,NARFCN12,NRxLev12,NQual12,NDistance12,NBearing12,NTech13,NCellName13,NCellid13,NLAC13,NCell13,NARFCN13,NRxLev13,NQual13,NDistance13,NBearing13,NTech14,NCellName14,NCellid14,NLAC14,NCell14,NARFCN14,NRxLev14,NQual14,NDistance14,NBearing14,NTech15,NCellName15,NCellid15,NLAC15,NCell15,NARFCN15,NRxLev15,NQual15,NDistance15,NBearing15,NTech16,NCellName16,NCellid16,NLAC16,NCell16,NARFCN16,NRxLev16,NQual16,NDistance16,NBearing16,NTech17,NCellName17,NCellid17,NLAC17,NCell17,NARFCN17,NRxLev17,NQual17,NDistance17,NBearing17,NTech18,NCellName18,NCellid18,NLAC18,NCell18,NARFCN18,NRxLev18,NQual18,NDistance18,NBearing18,geometry
2019+AC0-11+AC0-24 09:01:30,+AC0-76.4914,44.232083,1,TELUS,302610,3026105600900004,,540105,4,56009,4G,LTE,+AC0-88,+AC0-11,2.2,+AC0-,+AC0-67,66811,679,2368,111,65,65,3,G,D,,,,,,,,,,UPLOAD/DOWNLOAD,M,13,1,,,+AC0-1,1000,25.112.208.182,2.0,LOG START,,,,3,4,83DC9,DAC9,138266884,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L66,,,,4G,,,,9.0,5145.0,+AC0-80,+AC0-11,,,4G,,,,54.0,5145.0,+AC0-88,+AC0-17,,,4G,,,,54.0,900.0,+AC0-90,+AC0-14,,,4G,,,,77.0,66811.0,+AC0-91,+AC0-15,,,4G,,,,9.0,66811.0,+AC0-92,+AC0-16,,,4G,,,,498.0,66811.0,+AC0-93,+AC0-18,,,4G,,,,17.0,900.0,+AC0-96,+AC0-18,,,4G,,,,17.0,66811.0,+AC0-97,+AC0-20,,,4G,,,,9.0,900.0,+AC0-97,+AC0-20,,,4G,,,,197.0,66811.0,+AC0-99,+AC0-20,,,4G,,,,389.0,900.0,+AC0-104,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.4914 44.232083)
2019+AC0-11+AC0-24 09:01:32,+AC0-76.49141,44.232065000000006,0,TELUS,302610,3026105600900004,,540105,4,56009,4G,LTE,+AC0-88,+AC0-17,1,+AC0-,+AC0-64,66811,14266,43,111,60,60,11,G,D,,,,,,,,,,UPLOAD/DOWNLOAD,M,13,1,,,+AC0-1,1000,25.112.208.182,1.0,,,,,5,4,83DC9,DAC9,138266884,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L66,,,,4G,,,,54.0,5145.0,+AC0-76,+AC0-13,,,4G,,,,9.0,5145.0,+AC0-76,+AC0-13,,,4G,,,,17.0,5145.0,+AC0-80,+AC0-17,,,4G,,,,77.0,66811.0,+AC0-86,+AC0-15,,,4G,,,,54.0,900.0,+AC0-89,+AC0-15,,,4G,,,,9.0,66811.0,+AC0-91,+AC0-18,,,4G,,,,9.0,900.0,+AC0-92,+AC0-13,,,4G,,,,17.0,900.0,+AC0-97,+AC0-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49141 44.23206500000001)
2019+AC0-11+AC0-24 09:01:33,+AC0-76.49141,44.232065000000006,0,TELUS,302610,3026105600900001,,543074,1,56009,4G,LTE,+AC0-91,+AC0-15,1.6,+AC0-,+AC0-65,2325,16637,173,77,60,60,11,G,D,,,,,,,,,,,M,13,1,,,+AC0-1,1000,25.112.208.182,,HANDOVER+AF8-DATA+AF8-4G4G,302+AC0-610+AC0-56009+AC0-540105+AC0-4+AC0-66811+AC0-111:302+AC0-610+AC0-56009+AC0-543074+AC0-1+AC0-2325+AC0-77,,,6,1,84962,DAC9,139026945,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L4,,,,4G,,,,111.0,2325.0,+AC0-89,+AC0-16,,,4G,,,,9.0,2325.0,+AC0-93,+AC0-19,,,4G,,,,17.0,2325.0,+AC0-94,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49141 44.23206500000001)
2019+AC0-11+AC0-24 09:01:34,+AC0-76.49141,44.232065000000006,0,TELUS,302610,3026105600900001,,543074,1,56009,4G,LTE,+AC0-91,+AC0-15,1.6,+AC0-,+AC0-65,2325,16637,173,77,60,60,11,G,D,,,,,,,,,,,M,13,1,,,+AC0-1,1000,25.112.208.182,,DOWNLOAD ERROR,,,,1,1,84962,DAC9,139026945,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L4,,,,4G,,,,111.0,2325.0,+AC0-89,+AC0-16,,,4G,,,,9.0,2325.0,+AC0-93,+AC0-19,,,4G,,,,17.0,2325.0,+AC0-94,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49141 44.23206500000001)
2019+AC0-11+AC0-24 09:01:34,+AC0-76.49141,44.232061,0,TELUS,302610,3026105600900001,,543074,1,56009,4G,LTE,+AC0-91,+AC0-15,1.6,+AC0-,+AC0-65,2325,16637,173,77,60,60,10,G,D,,,,,,,,,,,M,13,1,,,+AC0-1,1000,25.112.208.182,,,,,,1,1,84962,DAC9,139026945,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L4,,,,4G,,,,111.0,2325.0,+AC0-89,+AC0-16,,,4G,,,,9.0,2325.0,+AC0-93,+AC0-19,,,4G,,,,17.0,2325.0,+AC0-94,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49141 44.232061)
2019+AC0-11+AC0-24 09:01:34,+AC0-76.49141,44.232061,0,TELUS,302610,3026105600900001,,543074,1,56009,4G,LTE,+AC0-91,+AC0-15,1.6,+AC0-,+AC0-65,2325,16637,173,77,60,60,10,G,D,,,,,,22917.0,2203.0,30494.0,4326.0,,M,13,1,,,+AC0-1,1000,25.112.208.182,,UL/DL TEST,,,,1,1,84962,DAC9,139026945,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L4,,,,4G,,,,111.0,2325.0,+AC0-89,+AC0-16,,,4G,,,,9.0,2325.0,+AC0-93,+AC0-19,,,4G,,,,17.0,2325.0,+AC0-94,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49141 44.232061)
2019+AC0-11+AC0-24 09:01:34,+AC0-76.49141,44.232061,0,TELUS,302610,3026105600900001,,543074,1,56009,4G,LTE,+AC0-91,+AC0-15,1.6,+AC0-,+AC0-65,2325,16637,173,77,60,60,10,G,D,,,,,,,,,,,M,13,1,,,+AC0-1,1000,25.112.208.182,,DATA TEST SEQUENCE,,,,1,1,84962,DAC9,139026945,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L4,,,,4G,,,,111.0,2325.0,+AC0-89,+AC0-16,,,4G,,,,9.0,2325.0,+AC0-93,+AC0-19,,,4G,,,,17.0,2325.0,+AC0-94,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49141 44.232061)
2019+AC0-11+AC0-24 09:01:35,+AC0-76.49141,44.232061,0,TELUS,302610,3026105600900001,,543074,1,56009,4G,LTE,+AC0-91,+AC0-15,3,+AC0-,+AC0-66,2325,14679,154,77,61,61,10,G,D,,,,,,,,,,PING,M,13,1,,,+AC0-1,1000,25.112.208.182,3.0,,,,,2,1,84962,DAC9,139026945,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L4,,,,4G,,,,111.0,2325.0,+AC0-89,+AC0-16,,,4G,,,,9.0,2325.0,+AC0-93,+AC0-19,,,4G,,,,17.0,2325.0,+AC0-94,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49141 44.232061)
2019+AC0-11+AC0-24 09:01:36,+AC0-76.49141,44.232061,0,TELUS,302220,3022205600900001,,543074,1,56009,4G,LTE,+AC0-91,+AC0-15,2.2,+AC0-,+AC0-71,2325,1,0,77,61,61,10,G,D,170.0,170.0,170.0,0.0,0.0,,,,,PING,M,13,1,,,+AC0-1,1000,25.112.208.182,3.0,PING TEST,,,,2,1,84962,DAC9,139026945,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L4,,,,4G,,,,111.0,2325.0,+AC0-89,+AC0-16,,,4G,,,,9.0,2325.0,+AC0-93,+AC0-19,,,4G,,,,17.0,2325.0,+AC0-94,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49141 44.232061)
2019+AC0-11+AC0-24 09:01:36,+AC0-76.49141,44.232062,0,TELUS,302610,3026105600900001,,543074,1,56009,4G,LTE,+AC0-95,+AC0-12,2.2,+AC0-,+AC0-71,2325,1,0,77,62,62,7,G,D,,,,,,,,,,,M,13,1,,,+AC0-1,1000,25.112.208.182,3.0,,,,,3,1,84962,DAC9,139026945,17.6,309,samsung:SM+AC0-G970U:PPR1.180610.011,L4,,,,4G,,,,111.0,2325.0,+AC0-97,+AC0-10,,,4G,,,,9.0,2325.0,+AC0-101,+AC0-12,,,4G,,,,17.0,2325.0,+AC0-105,+AC0-19,,,4G,,,,197.0,2325.0,+AC0-108,+AC0-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (+AC0-76.49141 44.232062)
